timestamp,actual_consumption,actual_pv,price_buy,price_sell,heat_load,cool_load,gas,pv_c
2020-01-04 00:00:00-07:00,648.9635098,-0.075,0.031,0.031,3797.141796,174.4473425,9.51,0
2020-01-04 01:00:00-07:00,599.7551294,-0.075,0.031,0.031,3995.807633,161.7541084,9.51,0
2020-01-04 02:00:00-07:00,584.5940998,-0.075,0.031,0.031,4176.007783,151.7917308,9.51,0
2020-01-04 03:00:00-07:00,583.4231882,-0.075,0.031,0.031,4322.609478,143.1229453,9.51,0
2020-01-04 04:00:00-07:00,674.7890392,-0.075,0.031,0.031,4416.432388,134.3146043,9.51,0
2020-01-04 05:00:00-07:00,703.4204074,-0.075,0.031,0.031,4812.653472,127.6911257,9.51,0
2020-01-04 06:00:00-07:00,1052.293601,-0.075,0.049,0.031,4956.440503,122.7836698,9.51,0
2020-01-04 07:00:00-07:00,1242.98433,-0.075,0.049,0.031,4344.895158,141.697951,9.51,4.4
2020-01-04 08:00:00-07:00,1227.393379,89.10334114,0.049,0.031,3563.708675,206.9536564,9.51,40.48
2020-01-04 09:00:00-07:00,1144.483264,140.8938161,0.049,0.031,2778.751995,314.4459955,9.51,77.66
2020-01-04 10:00:00-07:00,1138.04679,173.0950933,0.049,0.031,2153.97357,361.7130944,9.51,105.82
2020-01-04 11:00:00-07:00,1122.250448,186.0697498,0.049,0.031,1324.497212,357.4254935,9.51,121
2020-01-04 12:00:00-07:00,1101.884487,184.7126654,0.049,0.031,818.0455433,337.3765765,9.51,122.1
2020-01-04 13:00:00-07:00,1077.133826,171.2554557,0.049,0.031,474.969193,335.7116182,9.51,108.9
2020-01-04 14:00:00-07:00,1069.605917,145.3279591,0.049,0.031,297.202974,337.4559688,9.51,82.5
2020-01-04 15:00:00-07:00,1101.38857,99.92331117,0.049,0.031,379.1042582,352.7383116,9.51,46.42
2020-01-04 16:00:00-07:00,1222.113692,11.45963348,0.049,0.031,646.9065746,386.377128,9.51,8.14
2020-01-04 17:00:00-07:00,1442.8908,-0.075,0.049,0.031,1498.045449,363.5391913,9.51,0
2020-01-04 18:00:00-07:00,1356.523243,-0.075,0.049,0.031,1406.606365,319.0312685,9.51,0
2020-01-04 19:00:00-07:00,1346.320738,-0.075,0.049,0.031,1393.503032,340.5070881,9.51,0
2020-01-04 20:00:00-07:00,1151.065016,-0.075,0.049,0.031,1810.205437,321.8308827,9.51,0
2020-01-04 21:00:00-07:00,1072.131389,-0.075,0.049,0.031,2158.617833,269.3558348,9.51,0
2020-01-04 22:00:00-07:00,889.3904216,-0.075,0.031,0.031,2520.32007,246.1992099,9.51,0
2020-01-04 23:00:00-07:00,771.2616162,-0.075,0.031,0.031,2845.954861,236.4417285,9.51,0
2020-01-05 00:00:00-07:00,632.9103834,-0.075,0.031,0.031,3161.081708,228.0714126,9.51,0
2020-01-05 01:00:00-07:00,584.0622626,-0.075,0.031,0.031,3365.656817,219.0366612,9.51,0
2020-01-05 02:00:00-07:00,569.2102646,-0.075,0.031,0.031,3547.705201,211.3128059,9.51,0
2020-01-05 03:00:00-07:00,567.9485594,-0.075,0.031,0.031,3683.977981,205.2050646,9.51,0
2020-01-05 04:00:00-07:00,659.0901032,-0.075,0.031,0.031,3766.437492,199.4439062,9.51,0
